tool_used,link,creation_date,,stars,watchers,forks,releases,packages,contributors,openIssues,closedIssues,openPRs,closedPRs,commits,type
sbom-tool,https://github.com/Ed-Fi-Alliance-OSS/Ed-Fi-DataImport,2022-10-10T19:05:06Z,,0,3,4,6,0,10,3,40,3,40,39,SPDX
sbom-tool,https://github.com/Ed-Fi-Alliance-OSS/Ed-Fi-ODS-AdminApp,2020-05-05T17:37:29Z,,3,9,14,23,0,14,3,412,3,412,"2,259",SPDX
sbom-tool,https://github.com/Ed-Fi-Exchange-OSS/Meadowlark,2021-12-07T20:39:20Z,,6,10,11,71,0,6,3,298,3,298,242,SPDX
tools-golang,https://github.com/elastic/cloudbeat,2022-02-14T10:43:26Z,,24,11,34,,0,26,121,329,6,886,664,SPDX
cyclonedx-gomod,https://github.com/elastic/harp,2020-11-25T10:11:02Z,,142,8,18,70,2,4,0,3,16,262,308,CycloneDX
voltone/rebar3_sbom,https://github.com/emqx/emqx,2012-12-17T10:07:44Z,,122000,397,21000,325,,113,202,3524,33,7331,"17,797",CycloneDX
tools-python,https://github.com/emzeat/mz-cmaketools,2012-09-25T14:15:19Z,,4,1,2,,,,0,0,0,0,300,SPDX
sbom-tool,https://github.com/Enchoseon/2based2wait,2022-02-05T04:30:46Z,,24,2,8,7,,5,9,12,1,55,321,SPDX
bom,https://github.com/ep-infosec/33_apache_beam,2022-12-11T01:16:12Z,,0,2,0,,0,,0,0,0,0,1,SPDX
bom,https://github.com/ep-infosec/36_linkedin_beam,2022-12-12T14:33:44Z,,0,2,0,,0,,0,0,0,0,1,SPDX
bom,https://github.com/espv/beam-plus-wrapper,2020-06-05T09:31:48Z,,1,2,0,,0,2,0,0,4,18,"26,882",SPDX
bom,https://github.com/evereux/pycatia,2018-11-25T20:04:31Z,,140,23,38,19,0,9,6,101,2,45,879,SPDX
bom,https://github.com/evhart/counsel,2023-03-16T21:40:46Z,,1,1,0,,0,,0,0,0,0,3,SPDX
tools-golang,https://github.com/Exynos-AOSP-Master/android_build,2023-07-24T17:55:29Z,,0,0,0,,0,555,0,0,0,0,"85,435",SPDX
cyclonedx-python,https://github.com/fla-sil/PyTorrent,2021-01-10T20:30:30Z,,33,2,21,,0,4,0,1,0,13,63,CycloneDX
tools-java,https://github.com/fossology/fossology,2014-01-13T11:22:57Z,,677,59,358,41,0,108,356,916,28,1230,"9,499",SPDX
cyclonedx-python-lib,https://github.com/FraunhoferISST/diva,2021-06-30T11:14:23Z,,20,3,1,10,59,6,2,123,17,279,"1,541",CycloneDX
ort,https://github.com/frazrepo/vimrc,2019-01-09T15:26:04Z,,5,1,1,1,0,,0,0,1,5,"1,107",SPDX
cyclonedx-python-lib,https://github.com/freebsd/freebsd-ports,2011-05-26T11:15:35Z,,873,116,671,,0,718,20,158,20,158,"634,762",CycloneDX
cyclonedx-python-lib,https://github.com/freebsd/freebsd-ports-kde,2017-05-21T10:48:44Z,,51,22,43,,0,657,1,85,1,85,"634,668",CycloneDX
